k,tones,rating,scalar_roughness,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
4,0_1_2_4,1.5,13.10049096600034,5.896557106613369,4.137523528678154,1.5841139458097262,1.4822963848990902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0_1_2_5,1.7,11.977007917710802,5.896557106613369,2.1545838813544824,1.5060282322240592,1.41490099837322,1.0049376991456713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0_1_2_6,1.6,11.843838550048842,5.896557106613369,2.1545838813544824,0.0,1.351837672318179,0.94057292202975,1.5002869677330604,0.0,0.0,0.0,0.0,0.0,0.0
4,0_1_2_7,1.46666666666667,10.895042837692923,5.896557106613369,2.1545838813544824,0.0,0.0,0.8811105085253523,1.4458571107999683,0.5169342303997502,0.0,0.0,0.0,0.0,0.0
4,0_1_2_8,1.46666666666667,11.3583175564804,5.896557106613369,2.1545838813544824,0.0,0.0,0.0,1.3951128387574938,0.47902436484705535,1.4330393649080009,0.0,0.0,0.0,0.0
4,0_1_2_9,1.43333333333333,10.853934081866914,5.896557106613369,2.1545838813544824,0.0,0.0,0.0,0.0,0.44532218788853867,1.3870166298403737,0.9704542761701506,0.0,0.0,0.0
4,0_1_2_10,1.23333333333333,11.53433555874378,5.896557106613369,2.1545838813544824,0.0,0.0,0.0,0.0,0.0,1.343954145337455,0.9203943076627417,1.218846117775732,0.0,0.0
4,0_1_2_11,1.03333333333333,11.742611025806164,5.896557106613369,2.1545838813544824,0.0,0.0,0.0,0.0,0.0,0.0,0.8738622501187578,1.1599448028354886,1.6576629848840672,0.0
4,0_1_2_12,1.1,10.8242607828476,5.896557106613369,2.1545838813544824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1034384354012663,1.6302098701813246,0.03947148929715851
4,0_1_3_4,1.4,12.640350446782321,5.840196360922838,2.067894656308624,3.249963044651768,1.4822963848990902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0_1_3_5,1.83333333333333,11.014947742651602,2.9615763495651417,3.967683596725526,1.665849098842042,1.41490099837322,1.0049376991456713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0_1_3_6,1.56666666666667,10.567783511055024,2.9615763495651417,2.067894656308624,3.0974526154184474,0.0,0.94057292202975,1.5002869677330604,0.0,0.0,0.0,0.0,0.0,0.0
4,0_1_3_7,1.86666666666667,9.951109078803432,2.9615763495651417,2.067894656308624,1.665849098842042,1.2929976328879058,0.0,1.4458571107999683,0.5169342303997502,0.0,0.0,0.0,0.0,0.0
4,0_1_3_8,2.0,9.433704653209169,2.9615763495651417,2.067894656308624,1.665849098842042,0.0,0.8263208187383071,0.0,0.47902436484705535,1.4330393649080009,0.0,0.0,0.0,0.0
4,0_1_3_9,1.56666666666667,10.400573510077372,2.9615763495651417,2.067894656308624,1.665849098842042,0.0,0.0,1.3477824993510419,0.0,1.3870166298403737,0.9704542761701506,0.0,0.0,0.0
4,0_1_3_10,1.33333333333333,9.250003323715173,2.9615763495651417,2.067894656308624,1.665849098842042,0.0,0.0,0.0,0.41544279356089253,0.0,0.9203943076627417,1.218846117775732,0.0,0.0
4,0_1_3_11,1.36666666666667,10.816559628670703,2.9615763495651417,2.067894656308624,1.665849098842042,0.0,0.0,0.0,0.0,1.3036317362353411,0.0,1.1599448028354886,1.6576629848840672,0.0
4,0_1_3_12,1.6,9.195707505320591,2.9615763495651417,2.067894656308624,1.665849098842042,0.0,0.0,0.0,0.0,0.0,0.8307060411262993,0.0,1.6302098701813246,0.03947148929715851
4,0_1_4_5,1.8,11.296565442629994,5.810316414402285,0.0,1.5841139458097262,2.89719738327231,1.0049376991456713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0_1_4_6,1.53333333333333,10.28736813568231,2.9615763495651417,1.8185215656455418,1.5841139458097262,1.4822963848990902,0.94057292202975,1.5002869677330604,0.0,0.0,0.0,0.0,0.0,0.0
4,0_1_4_7,1.73333333333333,9.351620547960676,2.9615763495651417,0.0,2.9449564722967256,1.4822963848990902,0.0,1.4458571107999683,0.5169342303997502,0.0,0.0,0.0,0.0,0.0
4,0_1_4_8,1.73333333333333,9.178306601806828,2.9615763495651417,0.0,1.5841139458097262,2.7205525766769023,0.0,0.0,0.47902436484705535,1.4330393649080009,0.0,0.0,0.0,0.0
4,0_1_4_9,1.7,9.161417853790656,2.9615763495651417,0.0,1.5841139458097262,1.4822963848990902,0.7759602675061731,0.0,0.0,1.3870166298403737,0.9704542761701506,0.0,0.0,0.0
4,0_1_4_10,1.63333333333333,9.470827228344557,2.9615763495651417,0.0,1.5841139458097262,1.4822963848990902,0.0,1.3036001226321257,0.0,0.0,0.9203943076627417,1.218846117775732,0.0,0.0
4,0_1_4_11,1.53333333333333,9.234607997441904,2.9615763495651417,0.0,1.5841139458097262,1.4822963848990902,0.0,0.0,0.38901352944838996,0.0,0.0,1.1599448028354886,1.6576629848840672,0.0
4,0_1_4_12,1.83333333333333,8.96350740054428,2.9615763495651417,0.0,1.5841139458097262,1.4822963848990902,0.0,0.0,0.0,1.2658393607918392,0.0,0.0,1.6302098701813246,0.03947148929715851
4,0_1_5_6,1.36666666666667,10.639978932130019,5.779280344848317,0.0,0.0,1.41490099837322,1.9455106211754214,1.5002869677330604,0.0,0.0,0.0,0.0,0.0,0.0
4,0_1_5_7,2.0,9.08342865243446,2.9615763495651417,1.7392222641507078,0.0,1.41490099837322,1.0049376991456713,1.4458571107999683,0.5169342303997502,0.0,0.0,0.0,0.0,0.0
4,0_1_5_8,2.13333333333333,8.587215936638565,2.9615763495651417,0.0,1.2937371597994753,1.41490099837322,1.0049376991456713,0.0,0.47902436484705535,1.4330393649080009,0.0,0.0,0.0,0.0
