k,tones,rating
4,0_2_7_9,2.4
4,0_2_7_10,2.36666666666667
4,0_2_7_11,2.86666666666667
4,0_2_7_12,3.1
4,0_2_8_9,1.4
4,0_2_8_10,2.16666666666667
4,0_2_8_11,2.16666666666667
4,0_2_8_12,2.43333333333333
4,0_2_9_10,1.53333333333333
4,0_2_9_11,2.06666666666667
4,0_2_9_12,2.6
4,0_2_10_11,1.43333333333333
4,0_2_10_12,2.1
4,0_2_11_12,2.13333333333333
4,0_3_4_5,1.46666666666667
4,0_3_4_6,1.7
4,0_3_4_7,1.8
4,0_3_4_8,2.13333333333333
4,0_3_4_9,1.66666666666667
4,0_3_4_10,1.83333333333333
4,0_3_4_11,1.56666666666667
4,0_3_4_12,1.53333333333333
4,0_3_5_6,1.76666666666667
4,0_3_5_7,2.93333333333333
4,0_3_5_8,2.9
4,0_3_5_9,2.93333333333333
4,0_3_5_10,2.53333333333333
4,0_3_5_11,1.83333333333333
4,0_3_5_12,2.56666666666667
4,0_3_6_7,2.03333333333333
4,0_3_6_8,3.0
4,0_3_6_9,1.73333333333333
4,0_3_6_10,2.6
4,0_3_6_11,1.86666666666667
4,0_3_6_12,2.86666666666667
4,0_3_7_8,2.8
4,0_3_7_9,2.46666666666667
4,0_3_7_10,3.06666666666667
4,0_3_7_11,1.93333333333333
4,0_3_7_12,3.46666666666667
4,0_3_8_9,1.7
4,0_3_8_10,3.2
4,0_3_8_11,2.36666666666667
4,0_3_8_12,3.76666666666667
4,0_3_9_10,1.73333333333333
4,0_3_9_11,2.03333333333333
4,0_3_9_12,2.43333333333333
4,0_3_10_11,1.5
4,0_3_10_12,3.1
4,0_3_11_12,1.76666666666667
4,0_4_5_6,1.63333333333333
4,0_4_5_7,2.8
4,0_4_5_8,1.86666666666667
4,0_4_5_9,3.0
4,0_4_5_10,2.0
4,0_4_5_11,2.1
4,0_4_5_12,2.5
4,0_4_6_7,2.23333333333333
4,0_4_6_8,2.23333333333333
4,0_4_6_9,2.56666666666667
4,0_4_6_10,1.83333333333333
4,0_4_6_11,2.43333333333333
4,0_4_6_12,2.73333333333333
4,0_4_7_8,1.9
4,0_4_7_9,2.96666666666667
4,0_4_7_10,2.53333333333333
4,0_4_7_11,3.3
4,0_4_7_12,3.83333333333333
4,0_4_8_9,1.66666666666667
4,0_4_8_10,1.7
4,0_4_8_11,1.96666666666667
4,0_4_8_12,2.36666666666667
4,0_4_9_10,1.56666666666667
4,0_4_9_11,2.66666666666667
4,0_4_9_12,3.23333333333333
4,0_4_10_11,1.7
4,0_4_10_12,2.46666666666667
4,0_4_11_12,3.33333333333333
4,0_5_6_7,1.43333333333333
4,0_5_6_8,1.76666666666667
4,0_5_6_9,2.23333333333333
4,0_5_6_10,2.06666666666667
4,0_5_6_11,1.83333333333333
4,0_5_6_12,2.13333333333333
4,0_5_7_8,2.06666666666667
4,0_5_7_9,3.23333333333333
4,0_5_7_10,2.73333333333333
4,0_5_7_11,2.63333333333333
4,0_5_7_12,3.5
4,0_5_8_9,1.73333333333333
4,0_5_8_10,2.56666666666667
4,0_5_8_11,1.93333333333333
4,0_5_8_12,3.4
4,0_5_9_10,2.23333333333333
4,0_5_9_11,2.4
4,0_5_9_12,3.8
4,0_5_10_11,1.46666666666667
4,0_5_10_12,3.13333333333333
4,0_5_11_12,2.2
4,0_6_7_8,2.03333333333333
4,0_6_7_9,2.06666666666667
4,0_6_7_10,1.76666666666667
4,0_6_7_11,2.23333333333333
4,0_6_7_12,2.46666666666667
4,0_6_8_9,1.4
4,0_6_8_10,2.2
4,0_6_8_11,1.96666666666667
4,0_6_8_12,3.06666666666667
4,0_6_9_10,1.56666666666667
4,0_6_9_11,2.23333333333333
4,0_6_9_12,2.76666666666667
4,0_6_10_11,1.43333333333333
4,0_6_10_12,2.0
4,0_6_11_12,1.5
4,0_7_8_9,1.3
4,0_7_8_10,2.1
4,0_7_8_11,1.96666666666667
4,0_7_8_12,2.8
4,0_7_9_10,1.83333333333333
4,0_7_9_11,2.2
4,0_7_9_12,3.03333333333333
4,0_7_10_11,1.56666666666667
4,0_7_10_12,2.43333333333333
4,0_7_11_12,2.26666666666667
